,Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
0,SNAP,SNAP INC CLASS A,Equity,4.08,58.49,"2,565,765.00","150,071,594.85","150,071,594.85",Communication,US83304A1060,New York Stock Exchange Inc.,United States,USD
1,6594,NIDEC CORP,Equity,2.7,124.98,"794,732.00","99,327,826.02","99,327,826.02",Industrials,JP3734800000,Tokyo Stock Exchange,Japan,JPY
2,HEXA B,HEXAGON B,Equity,2.23,90.41,"908,693.00","82,156,930.92","82,156,930.92",Information Technology,SE0000103699,Nasdaq Omx Nordic,Sweden,SEK
3,KLAC,KLA CORP,Equity,2.2,288.74,"280,037.00","80,857,883.38","80,857,883.38",Information Technology,US4824801009,NASDAQ,United States,USD
4,TER,TERADYNE INC,Equity,2.16,112.37,"706,745.00","79,416,935.65","79,416,935.65",Information Technology,US8807701029,NASDAQ,United States,USD
5,6201,TOYOTA INDUSTRIES CORP,Equity,2.16,92.50,"858,200.00","79,382,023.40","79,382,023.40",Consumer Discretionary,JP3634600005,Tokyo Stock Exchange,Japan,JPY
6,QCOM,QUALCOMM INC,Equity,2.12,129.75,"601,861.00","78,091,464.75","78,091,464.75",Information Technology,US7475251036,NASDAQ,United States,USD
7,MCHP,MICROCHIP TECHNOLOGY INC,Equity,2.05,145.49,"518,916.00","75,497,088.84","75,497,088.84",Information Technology,US5950171042,NASDAQ,United States,USD
8,EMR,EMERSON ELECTRIC,Equity,2.04,89.46,"836,392.00","74,823,628.32","74,823,628.32",Industrials,US2910111044,New York Stock Exchange Inc.,United States,USD
9,AMD,ADVANCED MICRO DEVICES INC,Equity,2.03,78.12,"957,188.00","74,775,526.56","74,775,526.56",Information Technology,US0079031078,NASDAQ,United States,USD
10,NVDA,NVIDIA CORP,Equity,1.99,508.90,"143,734.00","73,146,232.60","73,146,232.60",Information Technology,US67066G1040,NASDAQ,United States,USD
11,AAPL,APPLE INC,Equity,1.97,120.53,"602,175.00","72,580,152.75","72,580,152.75",Information Technology,US0378331005,NASDAQ,United States,USD
12,6857,ADVANTEST CORP,Equity,1.96,85.62,"841,500.00","72,045,836.20","72,045,836.20",Information Technology,JP3122400009,Tokyo Stock Exchange,Japan,JPY
13,AME,AMETEK INC,Equity,1.9,121.67,"574,045.00","69,844,055.15","69,844,055.15",Industrials,US0311001004,New York Stock Exchange Inc.,United States,USD
14,GRMN,GARMIN LTD,Equity,1.89,125.45,"553,139.00","69,391,287.55","69,391,287.55",Consumer Discretionary,CH0114405324,NASDAQ,United States,USD
15,MRVL,MARVELL TECHNOLOGY GROUP LTD,Equity,1.88,45.55,"1,517,618.00","69,127,499.90","69,127,499.90",Information Technology,BMG5876H1051,NASDAQ,United States,USD
16,XLNX,XILINX INC,Equity,1.87,122.25,"563,486.00","68,886,163.50","68,886,163.50",Information Technology,US9839191015,NASDAQ,United States,USD
17,6954,FANUC CORP,Equity,1.84,252.53,"267,654.00","67,591,998.90","67,591,998.90",Industrials,JP3802400006,Tokyo Stock Exchange,Japan,JPY
18,ISRG,INTUITIVE SURGICAL INC,Equity,1.76,699.32,"92,319.00","64,560,523.08","64,560,523.08",Health Care,US46120E6023,NASDAQ,United States,USD
19,ROK,ROCKWELL AUTOMATION INC,Equity,1.74,260.31,"245,410.00","63,882,677.10","63,882,677.10",Industrials,US7739031091,New York Stock Exchange Inc.,United States,USD
20,6645,OMRON CORP,Equity,1.71,84.61,"744,000.00","62,947,281.49","62,947,281.49",Information Technology,JP3197800000,Tokyo Stock Exchange,Japan,JPY
21,NOW,SERVICENOW INC,Equity,1.71,466.18,"134,827.00","62,853,650.86","62,853,650.86",Information Technology,US81762P1021,New York Stock Exchange Inc.,United States,USD
22,DSY,DASSAULT SYSTEMES,Equity,1.7,209.82,"297,602.00","62,442,963.24","62,442,963.24",Information Technology,FR0000130650,Nyse Euronext - Euronext Paris,France,EUR
